English	Alistair	qwen3-alistair-english-genesis1-demo.wav	In the beginning God created the heaven and the earth.
Chinese	Anastasia	qwen3-anastasia-chinese-genesis1-demo.wav	起初，神创造天地。
Japanese	Beatrice	qwen3-beatrice-japanese-genesis1-demo.wav	初めに、神は天と地を創造された。
Korean	Eleanor	qwen3-eleanor-korean-genesis1-demo.wav	태초에 하나님이 천지를 창조하시니라.
German	Harriet	qwen3-harriet-german-genesis1-demo.wav	Am Anfang schuf Gott Himmel und Erde.
French	Mikhail	qwen3-mikhail-french-genesis1-demo.wav	Au commencement, Dieu créa les cieux et la terre.
Russian	Svetlana	qwen3-svetlana-russian-genesis1-demo.wav	В начале сотворил Бог небо и землю.
Portuguese	Yelena	qwen3-yelena-portuguese-genesis1-demo.wav	No princípio, Deus criou os céus e a terra.
Spanish	Alistair	qwen3-alistair-spanish-genesis1-demo.wav	En el principio creó Dios los cielos y la tierra.
Italian	Anastasia	qwen3-anastasia-italian-genesis1-demo.wav	Nel principio Dio creò i cieli e la terra.
